sample_word,known,bucket_size
pre-performance,True,1
overbalance,False,1
cadenced,True,1
descendent,True,1
carthusian,False,1
cavil,False,1
detox,True,1
carnival-like,True,1
noncoding,False,1
ology,True,1
playset,True,1
quarter-point,True,1
footwell,False,1
hemorrhaging,True,1
medium-large,True,1
fathering,True,1
problem-centered,True,1
conjunctiva,False,1
seediness,False,1
guitar-driven,True,1
hard-bodied,True,1
tucked,True,1
taurine,True,1
ten-mile,True,1
information-age,True,1
kilowatt-hour,True,1
followership,True,1
run-and-gun,True,1
urban/suburban,True,1
essentialist,True,1
lip-synching,True,1
uniformitarian,False,1
lectionary,False,1
soundwave,True,1
extra-regional,True,1
applecart,False,1
bass-baritone,True,1
humidification,True,1
tobacco-stained,True,1
billon,True,1
mousehole,True,1
single-layer,True,1
malamute,True,2
siltstone,False,2
asset-management,True,2
ancient-looking,True,2
music-video,True,2
leavening,True,2
uncoerced,True,2
red-light,True,2
unmissable,True,3
synchronistic,True,3
half-cup,True,3
grass,True,3
crampy,True,3
fresh-picked,True,4
bootlace,True,4
cetacean,False,4
outstay,True,5
vibrance,True,5
low-order,True,6
ultrafiltration,True,6
ass-backwards,True,7
best-organized,True,7
drug-smuggling,True,8
flavor-packed,True,8
wiretapped,True,9
reseat,True,10
poisson,False,11
rubber-coated,True,11
african-inspired,True,12
underuse,True,13
high-school-age,True,14
violet-blue,True,16
extensional,True,17
b-type,False,18
highlife,True,20
plasticine,True,21
colorimetric,False,23
self-enclosed,True,25
supernal,False,26
emergency-response,True,28
post-exposure,True,30
acetyl,True,33
womanliness,True,35
fortune-telling,True,38
sad-looking,True,40
xenotransplantation,False,43
wade,True,46
twirler,True,49
wild-haired,True,52
reorder,True,56
ten-pound,True,60
federalization,True,64
snorkeling,True,68
denotative,True,72
heterozygosity,False,77
reinsurer,False,82
multi-faith,True,87
newel,False,92
cupful,True,98
pedicure,True,104
uprightness,True,110
steno,True,117
homegirl,True,124
outgain,False,131
pitch-perfect,True,138
structuralism,True,146
overdone,True,155
interest-only,True,163
file-sharing,True,173
omniscience,True,182
ingeniously,True,192
driverless,True,203
sunbathe,True,214
moccasin,True,225
excision,False,237
goad,False,249
awning,True,262
spin-off,True,276
ceramics,True,290
relocate,True,305
precedent,True,320
fact,True,336
